name,sex,tot
Connie,F,261897
Connor,M,196615
Conor,M,19385
Conrad,M,27251
Constance,F,132811
Consuelo,F,13897
Cooper,M,74300
Cora,F,89228
Corbin,M,30207
Cordell,M,5673
Corey,F,6285
Corey,M,179032
Cori,F,7946
Corina,F,11635
Corine,F,9651
Corinne,F,39592
Cornelia,F,13878
Cornelius,M,29024
Cornell,M,7239
Corrine,F,14238
Cortez,M,7250
Cortney,F,15013
Cory,M,123530
Courtney,M,18151
Courtney,F,254948
Coy,M,11517
Craig,M,295586
Cristal,F,12608
Cristian,M,59452
Cristina,F,47713
Cristobal,M,5134
Cristopher,M,8016
Cristy,F,5339
Cruz,M,19048
Crystal,F,325838
Cullen,M,9886
Curt,M,12647
Curtis,M,252384
Cynthia,F,704292
Cyril,M,6542
Cyrus,M,13603
Dahlia,F,7455
Daisy,F,114549
Dakota,F,29430
Dakota,M,83247
Dale,F,17820
Dale,M,273495
Dalia,F,9533
Dallas,F,7465
Dallas,M,54730
Dalton,M,75521
Damaris,F,9176
Damian,M,77041
Damien,M,52501
Damion,M,13599
Damon,M,58748
Dan,M,97980
Dana,F,188128
Dana,M,48695
Dandre,M,5177
Dane,M,27210
Danette,F,7723
Dangelo,M,5476
Danica,F,11842
Daniel,M,1879360
Daniela,F,55059
Daniella,F,25092
Danielle,F,363823
Danika,F,7143
Danita,F,5010
Danna,F,13707
Dannie,M,5474
Danny,M,279735
Dante,M,38923
Daphne,F,28961
Daquan,M,6427
Dara,F,8434
Darcy,F,17550
Daren,M,7104
Darian,M,12475
Darien,M,7269
Darin,M,29595
Dario,M,6394
Darius,M,47064
Darla,F,38390
Darleen,F,5133
Darlene,F,200481
Darnell,M,24271
Darrel,M,25282
Darrell,M,155479
Darren,M,99796
Darrick,M,5211
Darrin,M,26654
Darrius,M,5551
Darryl,M,88222
Darwin,M,19152
Daryl,M,58754
Dashawn,M,6706
Dave,M,55964
David,M,3577433
David,F,8187
Davin,M,6760
Davion,M,9995
Davis,M,22540
Davon,M,10579
Dawn,F,285425
Dawson,M,30683
Dayana,F,9627
Dayanara,F,5265
Dayna,F,10589
Dayton,M,9112
Deacon,M,5337
Dean,M,168309
Deana,F,19487
Deandre,M,25364
Deangelo,M,9064
Deann,F,7305
Deanna,F,131465
Deanne,F,11429
Debbie,F,184847
